Iteration      Max Err W0     Max Err W1     Max Err b0     Max Err b1     L2 Err W0      L2 Err W1      L2 Err b0      L2 Err b1      
0              2.50001e-06    0.743135       1              1              2.50001e-06    0.655358       1              1              
1              5.00002e-06    0.912617       1              1              5.00002e-06    0.839137       1              1              
2              7.50004e-06    0.941794       1              1              7.50004e-06    0.899305       1              1              
3              1.00001e-05    0.953577       1              1              1.00001e-05    0.925681       1              1              
4              1.25001e-05    0.959784       1              1              1.25001e-05    0.939631       1              1              
5              1.50001e-05    0.963766       1              1              1.50001e-05    0.948019       1              1              
6              1.75002e-05    0.966526       1              1              1.75002e-05    0.953557       1              1              
7              2.00002e-05    0.968553       1              1              2.00002e-05    0.957475       1              1              
8              2.25003e-05    0.97011        1              1              2.25003e-05    0.960396       1              1              
9              2.50003e-05    0.971349       1              1              2.50003e-05    0.962664       1              1              
10             2.75004e-05    0.972362       1              1              2.75004e-05    0.964482       1              1              
11             3.00005e-05    0.97321        1              1              3.00005e-05    0.965977       1              1              
12             3.25006e-05    0.973932       1              1              3.25006e-05    0.967231       1              1              
13             3.50007e-05    0.974556       1              1              3.50007e-05    0.968301       1              1              
14             3.75008e-05    0.975103       1              1              3.75008e-05    0.969228       1              1              
15             4.00009e-05    0.975587       1              1              4.00009e-05    0.97004        1              1              
16             4.2501e-05     0.97602        1              1              4.2501e-05     0.970759       1              1              
17             4.50011e-05    0.97641        1              1              4.50011e-05    0.971401       1              1              
18             4.75012e-05    0.976763       1              1              4.75012e-05    0.971979       1              1              
19             5.00013e-05    0.977086       1              1              5.00013e-05    0.972503       1              1              
20             5.25014e-05    0.977383       1              1              5.25014e-05    0.97298        1              1              
21             5.50016e-05    0.977656       1              1              5.50016e-05    0.973418       1              1              
22             5.75017e-05    0.977909       1              1              5.75017e-05    0.973821       1              1              
23             6.00019e-05    0.978144       1              1              6.00019e-05    0.974194       1              1              
24             6.2502e-05     0.978364       1              1              6.2502e-05     0.974541       1              1              
25             6.50022e-05    0.97857        1              1              6.50022e-05    0.974864       1              1              
26             6.75024e-05    0.978763       1              1              6.75024e-05    0.975166       1              1              
27             7.00025e-05    0.978945       1              1              7.00025e-05    0.975449       1              1              
28             7.25027e-05    0.979117       1              1              7.25027e-05    0.975715       1              1              
29             7.50029e-05    0.97928        1              1              7.50029e-05    0.975966       1              1              
30             7.75031e-05    0.979434       1              1              7.75031e-05    0.976203       1              1              
31             8.00033e-05    0.979581       1              1              8.00033e-05    0.976428       1              1              
32             8.25035e-05    0.97972        1              1              8.25035e-05    0.976641       1              1              
33             8.50037e-05    0.979853       1              1              8.50037e-05    0.976844       1              1              
34             8.75039e-05    0.979981       1              1              8.75039e-05    0.977037       1              1              
35             9.00042e-05    0.980102       1              1              9.00042e-05    0.977221       1              1              
36             9.25044e-05    0.980219       1              1              9.25044e-05    0.977396       1              1              
37             9.50046e-05    0.98033        1              1              9.50046e-05    0.977565       1              1              
38             9.75049e-05    0.980438       1              1              9.75049e-05    0.977726       1              1              
39             0.000100005    0.980541       1              1              0.000100005    0.97788        1              1              
40             0.000102505    0.98064        1              1              0.000102505    0.978029       1              1              
41             0.000105006    0.980736       1              1              0.000105006    0.978171       1              1              
42             0.000107506    0.980828       1              1              0.000107506    0.978309       1              1              
43             0.000110006    0.980918       1              1              0.000110006    0.978441       1              1              
44             0.000112506    0.981004       1              1              0.000112506    0.978569       1              1              
45             0.000115007    0.981087       1              1              0.000115007    0.978692       1              1              
46             0.000117507    0.981168       1              1              0.000117507    0.978811       1              1              
47             0.000120007    0.981246       1              1              0.000120007    0.978926       1              1              
48             0.000122508    0.981322       1              1              0.000122508    0.979037       1              1              
49             0.000125008    0.981395       1              1              0.000125008    0.979145       1              1              
50             0.000127508    0.981467       1              1              0.000127508    0.97925        1              1              
51             0.000130009    0.981536       1              1              0.000130009    0.979351       1              1              
52             0.000132509    0.981604       1              1              0.000132509    0.979449       1              1              
53             0.000135009    0.981669       1              1              0.000135009    0.979545       1              1              
54             0.00013751     0.981733       1              1              0.00013751     0.979638       1              1              
55             0.00014001     0.981795       1              1              0.00014001     0.979728       1              1              
56             0.00014251     0.981856       1              1              0.00014251     0.979816       1              1              
57             0.000145011    0.981915       1              1              0.000145011    0.979901       1              1              
58             0.000147511    0.981972       1              1              0.000147511    0.979984       1              1              
59             0.000150011    0.982028       1              1              0.000150011    0.980065       1              1              
60             0.000152512    0.982083       1              1              0.000152512    0.980144       1              1              
61             0.000155012    0.982137       1              1              0.000155012    0.980221       1              1              
62             0.000157513    0.982189       1              1              0.000157513    0.980297       1              1              
63             0.000160013    0.98224        1              1              0.000160013    0.98037        1              1              
64             0.000162513    0.98229        1              1              0.000162513    0.980442       1              1              
65             0.000165014    0.982339       1              1              0.000165014    0.980512       1              1              
66             0.000167514    0.982387       1              1              0.000167514    0.98058        1              1              
67             0.000170015    0.982434       1              1              0.000170015    0.980647       1              1              
